combat,2,Fun Beats,14,Electronic
combat,3,Void of Chaos 2,16,"Rock, Alt"
groove,1,Chasing the Emotion,12,"Pop, Electronic"
groove,2,HIIT Groove 1,14,"Pop, Electronic"
combat,2,Roads & Roots,15,"Rock, Alt"
combat,3,Break Free 3,13,Rock
combat,3,Game of the Brave,14,HipHop
groove,1,Floral Spring,12,Pop
groove,3,Top Cheerleader! 1,13,Pop
combat,2,"Drop Top, Shades Up",11,Pop
combat,3,In the Dark House 2,13,Electronic
combat,3,Mechanical Maiden,13,"Electronic, Cinematic"
groove,1,Road Trip Dream 2,13,Pop
groove,2,Silent Invasion,14,Cinematic
combat,1,Infinity Prelude,14,Electronic
combat,2,Swag King 2,11,"HipHop, Alt"
combat,3,5 MIN Sprint,7,Electronic
groove,2,Heartbeat on Fire 1,14,Electronic
groove,3,Get Funky 5,11,"Soul, Pop"
combat,1,The Tempo of You,13,"Pop, Alt"
combat,3,5 MIN Fast Burning  4,7,Electronic
combat,3,Cat On the Keys 1,11,Pop
groove,1,Good^2,12,Pop
groove,2,Dance Across The Desert,16,"HipHop, World"
combat,2,Love Crush,12,"Electronic, Pop"
combat,2,Rev It Up,15,"Rock, Alt"
combat,3,Battle Roar 2,14,HipHop
groove,2,Dream Hunter,14,Cinematic
groove,3,12 MIN Cardio Fit 1,15,Electronic
combat,1,Love Flux 2,13,Pop
combat,2,Sunrise Sweat 2,14,"Electronic, Pop"
combat,3,Battle Rope Bootcamp 3,13,"Electronic, HipHop"
groove,2,Catch Me If You Can,12,Pop
groove,3,"Full Body Burn 1, 25 MIN",28,"Pop, Alt"
combat,2,Best Day 2,16,"Pop, Rock"
combat,3,12 MIN Cardio Boxing 2,13,HipHop
combat,3,Rock the Punch,12,"Rock, Alt"
groove,2,Arm Sculpt Grooves 2,13,"Electronic, Pop"
groove,3,Flying Daggers 1,12,"Cinematic, World"
combat,1,Sidestep Flow: Intro,8,Pop
combat,2,Sidesteps: Knockout 1,14,Electronic
combat,2,Swag King 3,10,HipHop
combat,3,Jab Blast 2,6,Electronic
groove,1,5 MIN Leg Workout 1,10,"Electronic, HipHop"
groove,2,A Million Dreams,13,Pop
combat,1,Player One 2,14,Rock
combat,2,Throne of Fire,13,"Cinematic, HipHop"
combat,3,Sidesteps: Knockout 2,13,"Alt, HipHop"
groove,2,Old School Vibes 4,14,HipHop
groove,3,My Time to Shine,14,"HipHop, Pop"
combat,1,Light 'Em Up 3,15,"Rock, Pop"
combat,2,Morning Boost 1,16,Pop
combat,3,5 MIN Fast Burning  5,8,Electronic
